code,nom,role,bassin,url,statut,fichier_capture,erreur
00_urgences_quebec,Urgences Québec (page nationale),GLOBAL,,https://www.indexsante.ca/urgences/,OK,captures/2026-09-12/00h55/00_urgences_quebec.png,
01_fatima,Hôpital Notre-Dame-de-Fatima,PIVOT,,https://www.indexsante.ca/hopitaux/bas-saint-laurent/11839/hopital-notre-dame-de-fatima.php,OK,captures/2026-09-12/00h55/01_fatima.png,
02_notre_dame_du_lac,Hôpital de Notre-Dame-du-Lac,COMPARABLE,VOISIN,https://www.indexsante.ca/hopitaux/bas-saint-laurent/4037/hopital-notre-dame-du-lac.php,OK,captures/2026-09-12/00h55/02_notre_dame_du_lac.png,
03_la_sarre,Centre multiservices de santé et de services sociaux de La Sarre,COMPARABLE,,https://www.indexsante.ca/hopitaux/abitibi-temiscamingue/4075/hopital-de-la-sarre.php,OK,captures/2026-09-12/00h55/03_la_sarre.png,
04_barrie_memorial,Hôpital Barrie Memorial,COMPARABLE,,https://www.indexsante.ca/hopitaux/monteregie/426/hopital-barrie-memorial.php,OK,captures/2026-09-12/00h55/04_barrie_memorial.png,
05_archipel,Hôpital de l'Archipel,COMPARABLE,,https://www.indexsante.ca/hopitaux/gaspesie-iles-de-la-madeleine/407/hopital-de-l-archipel.php,OK,captures/2026-09-12/00h55/05_archipel.png,
06_maniwaki,Hôpital de Maniwaki,COMPARABLE,,https://www.indexsante.ca/hopitaux/outaouais/385/hopital-de-maniwaki.php,OK,captures/2026-09-12/00h55/06_maniwaki.png,
07_amqui,Hôpital d'Amqui,COMPARABLE,,https://www.indexsante.ca/hopitaux/bas-saint-laurent/4036/hopital-amqui.php,OK,captures/2026-09-12/00h55/07_amqui.png,
08_sainte_anne_des_monts,Hôpital de Sainte-Anne-des-Monts,COMPARABLE,,https://www.indexsante.ca/hopitaux/gaspesie-iles-de-la-madeleine/406/hopital-de-sainte-anne-des-monts.php,OK,captures/2026-09-12/00h55/08_sainte_anne_des_monts.png,
09_gaspe,Hôpital Hôtel-Dieu de Gaspé,COMPARABLE,,https://www.indexsante.ca/hopitaux/gaspesie-iles-de-la-madeleine/405/hopital-hotel-dieu-de-gaspe.php,OK,captures/2026-09-12/00h55/09_gaspe.png,
10_des_sources,Centre multiservices de santé et de services sociaux des Sources,COMPARABLE,,https://www.indexsante.ca/hopitaux/estrie/4059/hopital-asbestos.php,OK,captures/2026-09-12/00h55/10_des_sources.png,
11_amos,Hôpital d'Amos,COMPARABLE,,https://www.indexsante.ca/hopitaux/abitibi-temiscamingue/4076/hopital-amos.php,OK,captures/2026-09-12/00h55/11_amos.png,
12_la_baie,Hôpital de La Baie,COMPARABLE,,https://www.indexsante.ca/hopitaux/saguenay-lac-saint-jean/4039/hopital-de-la-baie.php,OK,captures/2026-09-12/00h55/12_la_baie.png,
13_portneuf,Hôpital régional de Portneuf,COMPARABLE,,https://www.indexsante.ca/hopitaux/capitale-nationale/333/hopital-regional-de-portneuf.php,OK,captures/2026-09-12/00h55/13_portneuf.png,
14_matane,Hôpital de Matane,COMPARABLE,,https://www.indexsante.ca/hopitaux/bas-saint-laurent/319/hopital-de-matane.php,OK,captures/2026-09-12/00h55/14_matane.png,
15_rouyn_noranda,Hôpital de Rouyn-Noranda,COMPARABLE,,https://www.indexsante.ca/hopitaux/abitibi-temiscamingue/390/hopital-de-rouyn-noranda.php,OK,captures/2026-09-12/00h55/15_rouyn_noranda.png,
16_mont_laurier,Hôpital de Mont-Laurier,COMPARABLE,,https://www.indexsante.ca/hopitaux/laurentides/418/hopital-de-mont-laurier.php,OK,captures/2026-09-12/00h55/16_mont_laurier.png,
17_baie_saint_paul,Hôpital de Baie-Saint-Paul,COMPARABLE,,https://www.indexsante.ca/hopitaux/capitale-nationale/4051/hopital-baie-saint-paul.php,OK,captures/2026-09-12/00h55/17_baie_saint_paul.png,
18_chandler,Hôpital de Chandler,COMPARABLE,,https://www.indexsante.ca/hopitaux/gaspesie-iles-de-la-madeleine/408/hopital-de-chandler.php,OK,captures/2026-09-12/00h55/18_chandler.png,
19_la_malbaie,Hôpital de La Malbaie,COMPARABLE,,https://www.indexsante.ca/hopitaux/capitale-nationale/4052/hopital-de-la-malbaie.php,OK,captures/2026-09-12/00h55/19_la_malbaie.png,
20_grand_portage,Centre hospitalier régional du Grand-Portage,COMPARABLE,VOISIN,https://www.indexsante.ca/hopitaux/bas-saint-laurent/321/centre-hospitalier-regional-du-grand-portage.php,OK,captures/2026-09-12/00h55/20_grand_portage.png,
21_montmagny,Hôpital de Montmagny,CONTEXTE,VOISIN,https://www.indexsante.ca/hopitaux/chaudiere-appalaches/411/hopital-de-montmagny.php,OK,captures/2026-09-12/00h55/21_montmagny.png,
22_sept_iles,Hôpital et CLSC de Sept-Îles,CONTEXTE,,https://www.indexsante.ca/hopitaux/cote-nord/134/hopital-de-sept-iles.php,OK,captures/2026-09-12/00h55/22_sept_iles.png,
23_le_royer,CLSC et Hôpital Le Royer,CONTEXTE,,https://www.indexsante.ca/hopitaux/cote-nord/4077/hopital-le-royer.php,OK,captures/2026-09-12/00h55/23_le_royer.png,
24_maria,Hôpital de Maria,CONTEXTE,,https://www.indexsante.ca/hopitaux/gaspesie-iles-de-la-madeleine/136/hopital-de-maria.php,OK,captures/2026-09-12/00h55/24_maria.png,
25_thetford_mines,Hôpital de Thetford Mines,CONTEXTE,,https://www.indexsante.ca/hopitaux/chaudiere-appalaches/410/hopital-de-thetford-mines.php,OK,captures/2026-09-12/00h55/25_thetford_mines.png,
26_saint_georges,Hôpital de Saint-Georges,CONTEXTE,,https://www.indexsante.ca/hopitaux/chaudiere-appalaches/412/hopital-de-saint-georges.php,OK,captures/2026-09-12/00h55/26_saint_georges.png,
