_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
1,2022-2023,4,99,Total provincial,Total provincial,Total provincial,,1085838,160682,61787,8.7517545967,857958,2.7927444898,751893,59956,25322,4.8346725764,527818,3.3116432232,333945,77385,23465,17.571250476,330140,1.9631446482,100726,36465
2,2023-2024,4,99,Total provincial,Total provincial,Total provincial,,1037164,166416,61290,8.6737049214,840233,2.713044225,697532,63745,24172,4.7758771047,504191,3.2083854344,339632,73789,18723,16.679015471,336042,1.9698437332,102671,37118
3,2024-2025,4,99,Total provincial,Total provincial,Total provincial,,1205058,198001,70344,8.6072267234,972216,2.9261385459,809888,75927,27527,4.9338554796,581582,3.4734277267,395170,82450,18650,16.135681034,390634,2.111325866,122074,42817
4,2025-2026,4,99,Total provincial,Total provincial,Total provincial,,1159795,200386,69638,8.5151003341,941873,2.7360797599,768251,77086,26747,4.7198370827,554708,3.2053678592,391544,78116,17284,15.961810763,387165,2.0637104522,123300,42891
5,2026-2027,4,99,Total provincial,Total provincial,Total provincial,,1066085,190104,63338,8.9035422684,851982,2.922385751,712838,76551,24813,4.9003258556,502716,3.3784075784,353247,77671,18255,16.981869278,349266,2.2660107562,113553,38525
6,2022-2023,4,08,Abitibi-Témiscamingue,Total régional,Total régional,,34224,3659,1856,5.9164838921,28233,2.9160538102,28405,2039,1349,4.6336856285,22447,3.2011071759,5819,731,98,12.178364744,5786,1.810178784,1620,507
7,2022-2023,4,01,Bas-Saint-Laurent,Total régional,Total régional,,42005,6475,1428,4.2091247801,36084,1.839392467,31818,3105,891,3.0417297512,26043,2.011791279,10187,256,15,7.8553577272,10041,1.3922475351,3370,537
8,2022-2023,4,03,Capitale-Nationale,Total régional,Total régional,,116697,18355,6202,7.2589252532,93829,1.9510259384,78584,7145,2214,3.6642025271,55929,2.4175362911,38113,6559,1556,14.670771361,37900,1.2625969804,11210,3988
9,2022-2023,4,12,Chaudière-Appalaches,Total régional,Total régional,,73326,11054,2960,6.0142100877,62286,1.745382202,56705,5022,1481,3.3259235713,45684,2.0447820839,16621,3479,541,15.185697177,16602,0.9215185587,6032,1479
10,2022-2023,4,09,Côte-Nord,Total régional,Total régional,,31417,3382,1490,6.5731675438,24778,2.859682458,25045,1881,964,4.4895591158,18579,2.9940423327,6372,1078,435,14.762742729,6199,2.4569929738,1501,526
11,2022-2023,4,05,Estrie,Total régional,Total régional,,71581,10829,3759,8.3426408893,57974,3.112067076,46846,3680,1249,5.0205784556,33365,4.0036486838,24735,4675,1091,14.634346439,24609,1.9032564644,7149,2510
12,2022-2023,4,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,30140,4756,1215,5.4101317186,26459,1.9112916315,24632,2923,823,3.4017676983,21069,2.0394613598,5508,921,311,14.391617294,5390,1.4102882911,1833,392
13,2022-2023,4,14,Lanaudière,Total régional,Total régional,,44284,7358,2666,10.216644455,31385,3.7201019861,30205,2384,1464,6.0167476871,17367,4.6877632067,14079,4412,792,19.227077148,14018,2.5212596107,4974,1202
14,2022-2023,4,15,Laurentides,Total régional,Total régional,,57495,9051,3732,12.040593351,42025,3.8470417146,38920,3318,1288,6.173850855,23596,4.7327393885,18575,6831,2656,24.333116525,18429,2.7130180392,5733,2444
15,2022-2023,4,13,Laval,Total régional,Total régional,,28821,4788,1795,8.7517344799,21357,3.1129045252,19510,1435,564,5.3394210804,12077,3.9861801128,9311,1851,111,15.901797247,9280,1.9764229227,3353,1231
16,2022-2023,4,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,74373,11836,3863,7.5801108377,56604,3.2598258663,50056,3978,1188,4.8369944551,32656,4.0686501375,24317,3596,363,13.226754488,23948,2.1568959598,7858,2675
17,2022-2023,4,06,Montréal,Total régional,Total régional,,265538,35746,18501,10.890211983,214708,2.8959558033,169560,9936,6729,5.9443922686,120434,3.7427801927,95978,25900,8825,19.627768409,94274,1.8141469428,25810,11772
18,2022-2023,4,16,Montérégie,Total régional,Total régional,,113495,19187,6906,11.353428017,80191,3.5342053036,77540,6873,2850,5.5384055326,44426,4.1214554728,35955,12085,4942,23.894016069,35765,2.8047442099,12314,4056
