_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
1,2022-2023,5,99,Total provincial,Total provincial,Total provincial,,1364024,202852,77650,8.7588668837,1080587,2.7864464854,943907,76211,31709,4.8327131851,665151,3.3056717167,420117,97475,29256,17.580038032,415436,1.9551194414,126641,45941
2,2023-2024,5,99,Total provincial,Total provincial,Total provincial,,1316559,212188,77231,8.6140819699,1067162,2.7212018885,886599,82193,30315,4.7829502762,641773,3.2195549993,429960,92512,22839,16.514066918,425389,1.9693498872,129995,46916
3,2024-2025,5,99,Total provincial,Total provincial,Total provincial,,1496075,246408,87302,8.6481481103,1204651,2.9678877375,1007330,95487,34048,4.9903016453,721580,3.5255868438,488745,102493,23124,16.187168417,483071,2.1348331324,150921,53254
4,2025-2026,5,99,Total provincial,Total provincial,Total provincial,,1444220,249848,86253,8.5092802135,1169097,2.7718066703,957676,97243,32980,4.7493108928,688084,3.2490622039,486544,96373,21233,15.910116272,481013,2.0890976861,152605,53273
5,2026-2027,5,99,Total provincial,Total provincial,Total provincial,,1330776,236698,78854,8.9355849185,1059994,2.9842813788,891185,96098,30655,4.9746697521,625431,3.4552723349,439591,96376,22506,16.965567749,434563,2.3064225996,140600,48199
6,2022-2023,5,08,Abitibi-Témiscamingue,Total régional,Total régional,,42767,4723,2354,5.9356463706,35336,2.9088000748,35424,2625,1721,4.6597877302,28045,3.1913296686,7343,899,128,12.090626144,7291,1.822043463,2098,633
7,2022-2023,5,01,Bas-Saint-Laurent,Total régional,Total régional,,53458,8233,1867,4.2575103716,45738,1.8861027543,40506,4014,1152,3.0948220154,32984,2.0580565409,12952,320,15,7.8936943243,12754,1.4414011944,4219,715
8,2022-2023,5,03,Capitale-Nationale,Total régional,Total régional,,147157,23068,7785,7.2042483349,118520,1.9411657268,99449,9130,2772,3.6599984247,71074,2.4063584941,47708,8145,1925,14.592361635,47446,1.2443080203,13938,5013
9,2022-2023,5,12,Chaudière-Appalaches,Total régional,Total régional,,91369,14034,3728,6.0366729233,77861,1.7213442616,70670,6421,1905,3.3091138468,57184,2.0144428317,20699,4422,671,15.349035836,20677,0.9107552675,7613,1823
10,2022-2023,5,09,Côte-Nord,Total régional,Total régional,,39377,4286,1916,6.5683597588,31130,2.8272386587,31398,2401,1236,4.4586261245,23356,2.9576842972,7979,1352,550,14.870329511,7774,2.4353312323,1885,680
11,2022-2023,5,05,Estrie,Total régional,Total régional,,90279,13715,4797,8.4336649227,73108,3.1534117485,59036,4706,1616,5.0915053856,42032,4.0734964498,31243,6014,1369,14.748926915,31076,1.9089465611,9009,3181
12,2022-2023,5,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,39304,6157,1550,5.462653787,34217,2.0088515374,32138,3818,1038,3.535473816,27210,2.1505124342,7166,1153,391,14.105649867,7007,1.4587455005,2339,512
13,2022-2023,5,14,Lanaudière,Total régional,Total régional,,55039,9064,3324,10.244040731,38988,3.7941301953,37267,2923,1782,6.0839562556,21299,4.8118831609,17772,5475,929,18.967530948,17689,2.5686725429,6141,1542
14,2022-2023,5,15,Laurentides,Total régional,Total régional,,72655,11566,4710,12.104757373,53339,3.8993414293,49020,4254,1619,6.2584687146,29889,4.8012806644,23635,8683,3294,24.230209882,23450,2.7497439114,7312,3091
15,2022-2023,5,13,Laval,Total régional,Total régional,,36003,5975,2233,8.79059968,26837,3.1044859088,24251,1788,682,5.3312297431,15124,3.9907733477,11752,2337,144,15.929229729,11713,1.9600983712,4187,1551
16,2022-2023,5,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,93234,14916,4810,7.6648339572,71116,3.2367425521,62534,4987,1452,4.8254064678,40889,4.0479596863,30700,4792,505,13.448572023,30227,2.1393839853,9929,3358
17,2022-2023,5,06,Montréal,Total régional,Total régional,,331623,45006,23233,10.8656993,269361,2.8440128345,211466,12544,8400,5.8785819733,151178,3.6785595512,120157,32345,10918,19.642597463,118183,1.7764726338,32462,14833
