_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,38,2,0,90,34,8.88855555555555,3.46421052631579,8:53,3:27,9:00:00,2026-09-20T9:46
2,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,11,0,0,14,3,9.85,4.93,9:51,4:55,9:00:00,2026-09-20T9:46
3,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,2,0,0,8,6,3.97,4.19,3:58,4:11,9:00:00,2026-09-20T9:46
4,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,2,0,0,4,2,4.14,1.35,4:08,1:21,9:00:00,2026-09-20T9:46
5,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,6,0,0,10,4,3.04,2.46,3:02,2:27,9:00:00,2026-09-20T9:46
6,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,2,1,0,12,3,12.29,2.92,12:17,2:55,9:00:00,2026-09-20T9:46
7,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,3,0,0,11,6,6.19,2.93,6:11,2:55,9:00:00,2026-09-20T9:46
8,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,11,1,0,26,8,12.42,4.46,12:25,4:27,9:00:00,2026-09-20T9:46
9,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,1,0,0,5,2,1.91,1.66,1:54,1:39,9:00:00,2026-09-20T9:46
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,78,3,0,133,42,10.9791515151515,3.88611486486486,10:58,3:53,9:00:00,2026-09-20T9:46
11,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE CHICOUTIMI,51218394,41,30,2,0,41,10,10.14,4.6,10:08,4:36,9:00:00,2026-09-20T9:46
12,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,3,1,0,15,9,23.73,2.78,23:43,2:46,9:00:00,2026-09-20T9:46
13,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL D'ALMA,51219400,17,10,0,0,20,5,5.25,3.33,5:15,3:19,9:00:00,2026-09-20T9:46
14,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE LA BAIE,51221364,7,8,0,0,12,2,9.49,3.06,9:29,3:03,9:00:00,2026-09-20T9:46
15,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,14,0,0,26,9,11.24,5.67,11:14,5:40,9:00:00,2026-09-20T9:46
16,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,13,0,0,19,7,10.2,4.01,10:12,4:00,9:00:00,2026-09-20T9:46
17,03,Capitale-Nationale,Total régional,Total régional,,218,176,12,1,299,84,12.3140437158469,3.71592647058823,12:18,3:42,9:00:00,2026-09-20T9:46
